Brand_Standard_Name,Standard_Drinks_Name,Size,冰量,熱量,糖量
50嵐,8冰茶,L,I,160,40
50嵐,8冰茶,M,I,120,30
50嵐,8冰綠,L,I,160,40
50嵐,8冰綠,M,I,120,30
50嵐,仙草凍奶茶,L,I,80,20
50嵐,仙草凍奶茶,M,I,40,10
50嵐,可可芭蕾,L,I,80,20
50嵐,可可芭蕾,M,I,60,15
50嵐,可可芭蕾拿鐵,L,I,80,20
50嵐,可可芭蕾拿鐵,M,I,60,15
50嵐,四季春奶青,L,I,160,40
50嵐,四季春奶青,M,I,120,30
50嵐,四季春青茶,L,I,160,40
50嵐,四季春青茶,M,I,120,30
50嵐,奶茶,L,I,160,40
50嵐,奶茶,M,I,120,30
50嵐,奶綠,L,I,160,40
50嵐,奶綠,M,I,120,30
50嵐,布丁奶茶,L,I,120,30
50嵐,布丁奶茶,M,I,80,20
50嵐,布丁青茶,L,I,120,30
50嵐,布丁青茶,M,I,80,20
50嵐,布丁紅茶,L,I,120,30
50嵐,布丁紅茶,M,I,80,20
50嵐,布丁烏龍,L,I,120,30
50嵐,布丁烏龍,M,I,80,20
50嵐,布丁綠茶,L,I,120,30
50嵐,布丁綠茶,M,I,80,20
50嵐,冰淇淋紅茶,L,I,120,30
50嵐,冰淇淋紅茶,M,I,80,20
50嵐,波霸奶茶,L,I,120,30
50嵐,波霸奶茶,M,I,80,20
50嵐,波霸奶綠,L,I,120,30
50嵐,波霸奶綠,M,I,80,20
50嵐,波霸青,L,I,120,30
50嵐,波霸青,M,I,80,20
50嵐,波霸紅,L,I,120,30
50嵐,波霸紅,M,I,80,20
50嵐,波霸烏,L,I,120,30
50嵐,波霸烏,M,I,80,20
50嵐,波霸綠,L,I,120,30
50嵐,波霸綠,M,I,80,20
50嵐,金桔檸檬,L,I,200,50
50嵐,金桔檸檬,M,I,140,35
50嵐,金桔檸檬蜜,L,I,200,50
50嵐,金桔檸檬蜜,M,I,140,35
50嵐,阿華田,L,I,80,20
50嵐,阿華田,M,I,60,15
50嵐,阿華田拿鐵,L,I,80,20
50嵐,阿華田拿鐵,M,I,60,15
50嵐,阿薩姆紅茶,L,I,160,40
50嵐,阿薩姆紅茶,M,I,120,30
50嵐,珍珠奶茶,L,I,120,30
50嵐,珍珠奶茶,M,I,80,20
50嵐,珍珠奶綠,L,I,120,30
50嵐,珍珠奶綠,M,I,80,20
50嵐,珍珠青茶,L,I,120,30
50嵐,珍珠青茶,M,I,80,20
