Brand_Standard_Name,Standard_Drinks_Name,Alias_Drinks_Name
50嵐,四季春奶青,"四季春奶青, 四季奶青"
50嵐,四季春青茶,"四季春青茶, 四季春, 青茶"
50嵐,阿薩姆紅茶,"阿薩姆紅茶, 紅茶"
50嵐,珍珠奶茶,"珍珠奶茶, 珍奶"
50嵐,紅茶拿鐵,"紅茶拿鐵, 鮮奶茶"
50嵐,茉莉綠茶,"茉莉綠茶, 綠茶"
50嵐,黃金烏龍茶,"黃金烏龍茶, 烏龍, 黃金烏龍"
50嵐,綠茶拿鐵,"綠茶拿鐵, 鮮奶綠"
50嵐,養樂多綠,"養樂多綠, 多多綠"
Comebuy,文山包種,"文山包種, 包種"
Comebuy,文山包種拿鐵,"文山包種拿鐵, 包種拿鐵"
Comebuy,金萱茶,"金萱茶, 金萱"
Comebuy,珍珠奶茶,"珍珠奶茶, 珍奶"
Comebuy,茉莉綠茶,"茉莉綠茶, 綠茶"
Comebuy,烏龍綠茶,"烏龍綠茶, 烏龍綠"
Comebuy,黃金奶綠,"黃金奶綠, 奶綠"
Comebuy,經典可可,"經典可可, 可可"
Comebuy,蜂蜜紅茶,"蜂蜜紅茶, 蜂蜜紅"
Comebuy,蜂蜜綠茶,"蜂蜜綠茶, 蜂蜜綠"
Comebuy,養樂多綠茶,"養樂多綠茶, 多多綠"
Comebuy,錫蘭紅茶,"錫蘭紅茶, 紅茶"
Comebuy,檸檬紅茶,"檸檬紅茶, 檸檬紅"
Comebuy,檸檬綠茶,"檸檬綠茶, 檸檬綠"
Comebuy,雙Q奶茶1號條,"雙Q奶茶1號條, 雙Q奶茶1號"
Comebuy,雙Q奶茶2號芋,"雙Q奶茶2號芋, 雙Q奶茶2號"
一沐日,手採高山青,"手採高山青, 高山青"
一沐日,冬瓜檸檬,"冬瓜檸檬, 檸檬冬瓜"
一沐日,油切蕎麥茶,"油切蕎麥茶, 蕎麥茶"
一沐日,烏龍鮮奶茶,"烏龍鮮奶茶, 烏龍拿鐵"
一沐日,粉粿黑糖奶茶,"粉粿黑糖奶茶, 黑糖粉粿奶茶"
上宇林,上宇林青茶,"上宇林青茶, 青茶"
上宇林,上宇林紅茶,"上宇林紅茶, 紅茶"
上宇林,手工粉角冬瓜茶,"手工粉角冬瓜茶, 粉角冬瓜茶"
上宇林,手工粉角青茶,"手工粉角青茶, 粉角青茶"
上宇林,手工粉角紅茶,"手工粉角紅茶, 粉角紅茶"
上宇林,手工粉角烏龍茶,"手工粉角烏龍茶, 粉角烏龍茶"
上宇林,手工粉角綠茶,"手工粉角綠茶, 粉角綠茶"
上宇林,手工粉角鮮奶茶,"手工粉角鮮奶茶, 粉角鮮奶茶"
上宇林,仙草凍鮮奶茶,"仙草凍鮮奶茶, 仙草凍紅茶拿鐵"
上宇林,布丁烏龍茶,"布丁烏龍茶, 布丁烏龍"
上宇林,甘蔗烏龍茶,"甘蔗烏龍茶, 甘蔗烏龍"
上宇林,珍珠烏龍茶,"珍珠烏龍茶, 珍珠烏龍"
上宇林,珍珠鮮奶茶,"珍珠鮮奶茶, 珍珠紅茶拿鐵"
上宇林,泰式奶茶,"泰式奶茶, 泰奶"
上宇林,烏龍鮮奶茶,"烏龍鮮奶茶, 烏龍拿鐵"
上宇林,梅香綠茶,"梅香綠茶, 梅子綠"
上宇林,黃金多多綠,"黃金多多綠, 多多綠"
上宇林,鼎極鮮奶茶,"鼎極鮮奶茶, 鮮奶茶"
上宇林,鮮奶綠茶,"鮮奶綠茶, 綠茶拿鐵"
上宇林,檸檬紅茶,"檸檬紅茶, 檸檬紅"
上宇林,檸檬綠茶,"檸檬綠茶, 檸檬綠"
上宇林,蘋果青茶,"蘋果青茶, 蘋果青"
上宇林,蘋果紅茶,"蘋果紅茶, 蘋果紅"
上宇林,蘋果烏龍茶,"蘋果烏龍茶, 蘋果烏龍"
上宇林,蘋果綠茶,"蘋果綠茶, 蘋果綠"
星巴克,卡布奇諾,"卡布奇諾, 卡布, Cappuccino"
星巴克,那堤,"那堤, Latte, 拿鐵"
星巴克,美式咖啡,"美式咖啡, Americano, 美式"
星巴克,焦糖瑪奇朵,"焦糖瑪奇朵, Caramel Macchiato"
星巴克,經典巧克力,"經典巧克力, 巧克力"
星巴克,經典紅茶那堤,"經典紅茶那堤, 紅茶那堤"
星巴克,經典紅茶葛粉杏仁奶那堤,"經典紅茶葛粉杏仁奶那堤, 紅茶葛粉杏仁奶那堤"
星巴克,經典紅茶葛粉燕麥那堤,"經典紅茶葛粉燕麥那堤, 紅茶葛粉燕麥那堤"
星巴克,經典特調冷萃咖啡,"經典特調冷萃咖啡, 特調冷萃咖啡"
星巴克,經典特調氮氣冷萃咖啡,"經典特調氮氣冷萃咖啡, 特調氮氣冷萃咖啡"
星巴克,摩卡,"摩卡, Mocha"
星巴克,濃縮咖啡,"濃縮咖啡, 濃縮, Espresso"
星巴克,馥列白,"馥列白, Flat White"
迷客夏,大正醇香紅茶,"大正醇香紅茶, 大正紅茶"
迷客夏,手炒黑糖鮮奶,"手炒黑糖鮮奶, 黑糖鮮奶"
